Longitude,Latitude,Longitude_2008,Latitude_2008,Cases_2008,Longitude_2023,Latitude_2023,Cases_2018,Cases_2023
30.92103269,-17.88570024,30.92103269,-17.88570024,2536,30.92103269,-17.88570024,2888,455
31.17458828,-17.72947752,31.17458828,-17.72947752,759,31.17458828,-17.72947752,175,1078
30.99388325,-17.9370235,30.99388325,-17.9370235,541,30.99388325,-17.9370235,90,47
31.06568902,-18.0144793,31.06568902,-18.0144793,3710,31.06568902,-18.0144793,56,20
31.03406429,-17.86423903,31.03406429,-17.86423903,2138,31.03406429,-17.86423903,1035,206
30.91163644,-17.93516886,30.91163644,-17.93516886,0,30.91163644,-17.93516886,50,1
30.99217231,-17.8899922,30.99217231,-17.8899922,824,30.99217231,-17.8899922,146,64
30.97537743,-17.85402402,30.97537743,-17.85402402,183,30.97537743,-17.85402402,50,7
30.94730997,-17.95218623,30.94730997,-17.95218623,0,30.94730997,-17.95218623,30,31
30.96272701,-17.83534272,30.96272701,-17.83534272,100,30.96272701,-17.83534272,74,17
30.94593693,-17.91460368,30.94593693,-17.91460368,4583,30.94593693,-17.91460368,4427,2642
31.15875848,-17.89539197,31.15875848,-17.89539197,824,31.15875848,-17.89539197,82,22
31.01218126,-17.95983076,31.01218126,-17.95983076,0,31.01218126,-17.95983076,16,3
31.09069823,-17.87871912,31.09069823,-17.87871912,355,31.09069823,-17.87871912,33,5
31.01153045,-17.83307891,31.01153045,-17.83307891,30,31.01153045,-17.83307891,22,12
31.05441916,-17.87104468,31.05441916,-17.87104468,0,31.05441916,-17.87104468,29,5
30.94607649,-17.78933335,30.94607649,-17.78933335,32,30.94607649,-17.78933335,35,23
31.05190932,-17.82014552,31.05190932,-17.82014552,0,31.05190932,-17.82014552,21,0
31.12276989,-17.73673757,31.12276989,-17.73673757,63,31.12276989,-17.73673757,23,9
31.05441972,-17.76586446,31.05441972,-17.76586446,32,31.05441972,-17.76586446,7,2
31.00453072,-17.79463333,31.00453072,-17.79463333,16,31.00453072,-17.79463333,27,4
30.97257057,-17.90979648,30.97257057,-17.90979648,0,30.97257057,-17.90979648,352,236
31.20732865,-17.83932175,31.20732865,-17.83932175,712,31.20732865,-17.83932175,22,0
30.99085237,-17.74529038,30.99085237,-17.74529038,32,30.99085237,-17.74529038,28,3
30.92103269,-17.88570024,30.92103269,-17.88570024,0,30.92103269,-17.88570024,76,29
31.09233504,-17.80371736,31.09233504,-17.80371736,12,31.09233504,-17.80371736,14,1
30.98609307,-17.96784592,30.98609307,-17.96784592,0,30.98609307,-17.96784592,65,17
31.12516813,-17.85226048,31.12516813,-17.85226048,0,31.12516813,-17.85226048,13,1
30.98475544,-17.7681525,30.98475544,-17.7681525,0,30.98475544,-17.7681525,13,5
31.22829798,-17.88456457,31.22829798,-17.88456457,0,31.22829798,-17.88456457,22,8
31.24064586,-17.83402642,31.24064586,-17.83402642,0,31.24064586,-17.83402642,24,7
31.10337525,-17.68204143,31.10337525,-17.68204143,0,31.10337525,-17.68204143,28,9
30.9315849,-17.8040124,30.9315849,-17.8040124,435,30.9315849,-17.8040124,25,59
30.9081,-17.79003,30.9081,-17.79003,0,30.9081,-17.79003,21,0
31.18735555,-17.84511583,31.18735555,-17.84511583,0,31.18735555,-17.84511583,18,10
31.03373007,-17.91333035,31.03373007,-17.91333035,0,31.03373007,-17.91333035,175,70
31.12341327,-17.81838723,31.12341327,-17.81838723,0,31.12341327,-17.81838723,15,5
31.06538509,-17.84233471,31.06538509,-17.84233471,0,31.06538509,-17.84233471,11,10
31.02828016,-17.80185989,31.02828016,-17.80185989,47,31.02828016,-17.80185989,11,2
31.07360498,-17.85409846,31.07360498,-17.85409846,0,31.07360498,-17.85409846,11,0
31.07630772,-17.82402235,31.07630772,-17.82402235,29,31.07630772,-17.82402235,9,9
30.97692437,-17.81708825,30.97692437,-17.81708825,0,30.97692437,-17.81708825,8,4
30.98613287,-17.86985378,30.98613287,-17.86985378,0,30.98613287,-17.86985378,5,2
31.0760367,-17.83680821,31.0760367,-17.83680821,8,31.0760367,-17.83680821,5,0
31.05614446,-17.84435351,31.05614446,-17.84435351,12,31.05614446,-17.84435351,5,0
31.08571975,-17.85795222,31.08571975,-17.85795222,0,31.08571975,-17.85795222,5,2
31.04775053,-17.96203193,31.04775053,-17.96203193,0,31.04775053,-17.96203193,4,0
30.96318989,-17.86394887,30.96318989,-17.86394887,0,30.96318989,-17.86394887,2,2
31.17458828,-17.72947752,31.17458828,-17.72947752,0,31.17458828,-17.72947752,2,1
31.0999554,-17.85634079,31.0999554,-17.85634079,0,31.0999554,-17.85634079,2,0
31.18462799,-17.8711344,31.18462799,-17.8711344,0,31.18462799,-17.8711344,2,0
31.1798304,-17.80889064,31.1798304,-17.80889064,0,31.1798304,-17.80889064,2,0
30.90783486,-17.80206446,30.90783486,-17.80206446,0,30.90783486,-17.80206446,2,1
30.97539626,-17.88075137,30.97539626,-17.88075137,0,30.97539626,-17.88075137,1,0
31.04901749,-17.85816124,31.04901749,-17.85816124,0,31.04901749,-17.85816124,1,0
31.15202327,-17.79299668,31.15202327,-17.79299668,0,31.15202327,-17.79299668,1,0
31.10257525,-17.93683229,31.10257525,-17.93683229,0,31.10257525,-17.93683229,1,0
31.04966455,-17.83383714,31.04966455,-17.83383714,0,31.04966455,-17.83383714,1,3
31.07846636,-17.78831897,31.07846636,-17.78831897,0,31.07846636,-17.78831897,1,1
31.00854316,-17.98552418,31.00854316,-17.98552418,0,31.00854316,-17.98552418,45,15
31.0172945,-17.86085311,31.0172945,-17.86085311,42,31.0172945,-17.86085311,14,15
30.96507325,-17.77121035,30.96507325,-17.77121035,0,30.96507325,-17.77121035,6,0
30.98955,-17.85523,30.98955,-17.85523,61,30.98955,-17.85523,0,0
31.0306,-17.8125,31.0306,-17.8125,21,31.0306,-17.8125,0,0
31.11999645,-17.78792185,31.11999645,-17.78792185,0,31.11999645,-17.78792185,0,1
31.13855052,-17.77796523,31.13855052,-17.77796523,0,31.13855052,-17.77796523,0,1
