x,y,Elevation
30.92103269,-17.88570024,1413
31.17458828,-17.72947752,1402
30.99388325,-17.9370235,1441
31.06568902,-18.0144793,1432
31.03406429,-17.86423903,1458
30.91163644,-17.93516886,1392
30.99217231,-17.8899922,1442
30.97537743,-17.85402402,1441
30.94730997,-17.95218623,1400
30.96272701,-17.83534272,1439
30.94593693,-17.91460368,1419
31.15875848,-17.89539197,1516
31.01218126,-17.95983076,1423
31.09069823,-17.87871912,1497
31.01153045,-17.83307891,1460
31.05441916,-17.87104468,1470
30.94607649,-17.78933335,1455
31.05190932,-17.82014552,1495
31.12276989,-17.73673757,1523
31.05441972,-17.76586446,1521
31.00453072,-17.79463333,1473
30.97257057,-17.90979648,1424
31.20732865,-17.83932175,1562
30.99085237,-17.74529038,1471
30.92103269,-17.88570024,1413
31.09233504,-17.80371736,1512
30.98609307,-17.96784592,1410
31.12516813,-17.85226048,1527
30.98475544,-17.7681525,1496
31.22829798,-17.88456457,1538
31.24064586,-17.83402642,1539
31.10337525,-17.68204143,1526
30.9315849,-17.8040124,1454
30.9081,-17.79003,1446
31.18735555,-17.84511583,1570
31.03373007,-17.91333035,1464
31.12341327,-17.81838723,1537
31.06538509,-17.84233471,1482
31.02828016,-17.80185989,1490
31.07360498,-17.85409846,1509
31.07630772,-17.82402235,1487
30.97692437,-17.81708825,1454
30.98613287,-17.86985378,1451
31.0760367,-17.83680821,1481
31.05614446,-17.84435351,1472
31.08571975,-17.85795222,1502
31.04775053,-17.96203193,1446
30.96318989,-17.86394887,1439
31.17458828,-17.72947752,1402
31.0999554,-17.85634079,1517
31.18462799,-17.8711344,1525
31.1798304,-17.80889064,1568
30.90783486,-17.80206446,1441
30.97539626,-17.88075137,1443
31.04901749,-17.85816124,1459
31.15202327,-17.79299668,1521
31.10257525,-17.93683229,1481
31.04966455,-17.83383714,1484
31.07846636,-17.78831897,1532
31.00854316,-17.98552418,1413
31.0172945,-17.86085311,1468
30.96507325,-17.77121035,1476
30.98955,-17.85523,1443
31.0306,-17.8125,1477
31.11999645,-17.78792185,1522
31.13855052,-17.77796523,1501
