2023,,
x,y,z
30.92103269,-17.88570024,12
31.17458828,-17.72947752,8
30.99388325,-17.9370235,3
31.06568902,-18.0144793,1
31.03406429,-17.86423903,3
30.91163644,-17.93516886,2
30.99217231,-17.8899922,1
30.97537743,-17.85402402,3
-30.94730997,-17.95218623,1
30.96272701,-17.83534272,6
30.94593693,-17.91460368,14
31.15875848,-17.89539197,1
31.01218126,-17.95983076,2
31.09069823,-17.87871912,3
31.01153045,-17.83307891,7
31.05441916,-17.87104468,10
30.94607649,-17.78933335,0
31.05190932,-17.82014552,0
31.12276989,-17.73673757,1
31.05441972,-17.76586446,0
31.00453072,-17.79463333,8
30.97257057,-17.90979648,0
31.20732865,-17.83932175,9
30.99085237,-17.74529038,0
30.92103269,-17.88570024,7
31.09233504,-17.80371736,0
30.98609307,-17.96784592,1
31.12516813,-17.85226048,0
30.98475544,-17.7681525,1
31.22829798,-17.88456457,1
31.24064586,-17.83402642,2
31.10337525,-17.68204143,16
30.9315849,-17.8040124,0
30.9081,-17.79003,8
31.18735555,-17.84511583,17
31.03373007,-17.91333035,2
31.12341327,-17.81838723,0
31.06538509,-17.84233471,5
31.02828016,-17.80185989,8
31.07360498,-17.85409846,0
31.07630772,-17.82402235,0
30.97692437,-17.81708825,3
30.98613287,-17.86985378,0
31.0760367,-17.83680821,5
31.05614446,-17.84435351,4
31.08571975,-17.85795222,1
31.04775053,-17.96203193,0
30.96318989,-17.86394887,2
31.17458828,-17.72947752,0
31.0999554,-17.85634079,0
31.18462799,-17.8711344,1
31.1798304,-17.80889064,0
30.90783486,-17.80206446,6
30.97539626,-17.88075137,4
31.04901749,-17.85816124,1
31.15202327,-17.79299668,0
31.10257525,-17.93683229,0
31.04966455,-17.83383714,6
31.07846636,-17.78831897,2
31.00854316,-17.98552418,1
31.0172945,-17.86085311,1
30.96507325,-17.77121035,2
30.98955,-17.85523,0
31.0306,-17.8125,0
31.11999645,-17.78792185,0
31.13855052,-17.77796523,0
