2018,,,,,,,,,2023,,,,
y,x,Ph,NTU,CL,,,,,y,x,Ph,ntu,cl
-17.93448446,30.94626,7.65,21.1,53.3,,,,,-17.92385492,30.8926,7.21,30.8,184.2
-17.94246796,30.91665,7.48,11.3,69.5,,,,,-17.90941487,30.85175,7.33,258,238.7
-18.08115342,31.22631,7.9,16.7,1,,,,,-17.8738036,30.7641,7.12,31.2,68.2
-17.92385492,30.8926,7.66,2.14,70.3,,,,,-17.81676714,31.0026,7.36,0.32,64.4
-17.90941487,30.85175,7.63,10.7,99.6,,,,,-17.91960257,30.9831,7.07,0.168,68.8
-17.8738036,30.7641,7.33,19,61.7,,,,,-17.88980334,31.0073,6.99,0.17,64.7
-17.81676714,31.0026,7.73,0.261,62,,,,,-17.87358867,30.88986,7.13,31.8,176.2
-17.91960257,30.9831,7.87,8.98,40.2,,,,,-17.85137548,30.9552,7.01,6.83,68.3
-17.88980334,31.0073,7.39,3.65,45.6,,,,,-17.92189155,31.21939,7.31,3.48,154.4
-17.83574182,31.06653,7.06,0.307,40.6,,,,,-17.78495197,30.9376,7.19,3.91,71.7
-17.84812249,31.14031,7.48,6.68,26.7,,,,,-17.93448446,30.94626,7.09,0.1,66.3
-17.87358867,30.88986,7.54,5.8,73.5,,,,,-17.94246796,30.91665,7.16,9.18,99.7
-17.85137548,30.9552,7.49,3.67,68,,,,,-18.08115342,31.22631,8.41,1.36,1.3
-17.86562987,31.1929,7.48,14.1,25.5,,,,,-17.83574182,31.06653,7.76,4.26,65.9
-17.88040867,31.2152,7.18,10.2,22.8,,,,,-17.84812249,31.14031,7.45,103,80.2
-17.78495197,30.9376,7.72,1.7,65.3,,,,,-17.86562987,31.1929,7.65,143,629
-17.98798667,31.10445,7.97,9.88,11,,,,,-17.88040867,31.2152,7.34,8.29,151
-18.03091246,31.0412,7.43,33.4,9.7,,,,,-17.98798667,31.10445,8.4,2.88,20.7
-17.92189155,31.21939,7.53,11.9,57.6,,,,,-18.03091246,31.0412,6.98,14.4,67.7
